Budget Item Code,Georgian Name,Budget Item Type,English Translation
35 03 04 03,ბავშვთა ონკოჰემატოლოგიური მომსახურება,Program,Children Hematological Services
37 03,მევენახეობა მეღვინეობის განვითარება,Program,Development Of Viticulture And Winemaking
26 00,საქართველოს იუსტიციის სამინისტრო,SpendingAgency,Ministry Of Justice
07 00,საქართველოს საკონსტიტუციო სასამართლო,SpendingAgency,Constitutional Court Of Georgia
47 02,სტატისტიკური სამუშაოების სახელმწიფო პროგრამა,Program,State Program Of Statistics
33 04 01,მუზეუმების ხელშეწყობა,Program,Development of Museums
41 00,საქართველოს სახალხო დამცველის აპარატი,SpendingAgency,Public Defender’s Office Of Georgia
24 06,ტურიზმის განვითარების ხელშეწყობა,Program,Stimulation Of Tourism Development
36 04 03,"220კვ ""ახალციხე-ბათუმი"" ხაზის მშენებლობა (მსოფლიო ბანკი)",Program,"220 kv Line Building For ""Akhaltsikhe-Batumi"" Line(World Bank)"
36 03 02,ვარდნილისა და ენგურის ჰიდროელექტროსადგურების რეაბილიტაციის პროექტი ევროპის საინვესტიციო ბანკი ევროკავშირი,Program,"Vardnili And Enguri Hydropower Rehabilitation Project European Investment Bank, The European Union"
35 03 02 06,პირველადი ჯანდაცვის რეფორმის მხარდაჭერის პროექტი (EC),Program,Primary Healthcare Perform Project
43 02,სახელმწიფო სექტორის ფინანსური მართვის მხარდაჭერის პროექტი (WB–SIDA–ნიდერლანდი– DFID),Program,Public Sector Financial Management Support Project (WB-SIDA- Netherlands-DFID)
28 01 01,საგარეო პოლიტიკის დაგეგმვა და მართვა,Program,Foreign Policy Planning And Management
29 04,თავდაცვის სფეროში სამეცნიერო კვლევების ხელშეწყობა,Program,Stimulation Of Scientific Research In Defense
32 04 03 04,სოფლის მეურნეობის დარგში მეცნიერთა ხელშეწყობა,Program,Stimulation of Scientists In Agriculture
35 02 03,სოციალური რეაბილიტაცია და ბავშვზე ზრუნვა,Program,Social Rehabilitation And Child Care
36 02 03 01,"შავი ზღვის ელექტროგადამცემი ქსელის პროექტი (KfW, EIB, EBRD)",Program,"Black See Power Energy Network Project (KfW, EIB, EBRD)"
51 00,სსიპ საქართველოს ეროვნული საინვესტიციო სააგენტო,SpendingAgency,
29 02,სამხედრო განათლების განვითარება,Program,Development Of Military Education
35 02 01,მოსახლეობის საპენსიო უზრუნველყოფა,Program,Payment Of Pensions
45 03,ა ა იპ – ბათუმისა და ლაზეთის ეპარქიის საგანმანათლებლო ცენტრისათვის გადასაცემი გრანტი,Program,Grant For Educational Centre for Diocese of Batumi And Lazeti 
37 01 04,სასოფლო სამეურნეო წარმოების ინტენსიფიკაცია,Program,Modernization Of Melioration Systems
53 11 03,აჭარის მყარი ნარჩენების პროექტი ევროპის რეკონსტრუქციისა და განვითარების ბანკი,Program,Solid Waste Project of Adjara European Reconstruction And Development Bank
35 03 04 05,ინკურაბელურ პაციენტთა პალიატიური მზრუნველობა,Program,Palliative care for incurable patients
32 02 09,სასჯელაღსრულების დაწესებულებებში განათლების მიღების ხელმისაწვდომობის პროგრამა,Program,Program For Simulation Of Education At Penitentiary System Institutions
53 02,საშინაო სახელმწიფო ვალდებულებების მომსახურება და დაფარვა,Program,Service And Repayment Of Domestic Debt
32 04 04,სახელმწიფო სასწავლო სამაგისტრო გრანტები და ახალგაზრდების წახალისება,Program,"State Education, Master's Degree Grants And Youth Facilitation"
58 04 02,ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,Program,Transfers For Local Self-Government Entities 
35 03 04 08,სოფლის ექიმი,Program,Rural Doctors
47 04,შინამეურნეობების ინტეგრირებული კვლევის პროგრამა,Program,Integrated Household Survey Program
35 03 01,ჯანმრთელობის დაზღვევა,Program,Health Insurance
38 03,გარემოს დაცვის სფეროში მონიტორინგი პროგნოზირება და პრევენცია,Program,"Monitoring, Projections And Prevention In The Environment"
13 00,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბაღდათის ვანის ზესტაფონის თერჯოლის სამტრედიის საჩხერის ტყიბულის წყალტუბოს ჭიათურის ხარაგაულის ხონის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ქუთაისში,SpendingAgency,"Administration of the State Representative – Governor in BAGHDATI, VANI, ZESTAFONI, SAMTREDIA, SACHKHERE, TKIBULI, TSKALTUBO, CHIATURA, KHARAGAULI, KHONI Municipalities and the Self-Governing City of KUTAISI"
27 03,პენიტენციური სისტემისათვის კვალიფიციური კადრების მომზადება,Program,Training Of Qualified Staff For The Penitentiary System
36 04 03,კვ ახალციხე ბათუმი ხაზის მშენებლობა მსოფლიო ბანკი,Program,Akhaltsikhe - Batumi Road Line Building World Bank
36 03,ენერგეტიკული ინფრასტრუქტურის მშენებლობა-რეაბილიტაცია,Program,Compensation For The Consumed Natural Gas In High Terrain Regions Of Kazbegi And Dusheti Municipalities
27 01 01,"პენიტენციური სისტემის პოლიტიკის შემუშავება, მართვა და ბრალდებულ/მსჯავრდებულთა ყოფითი პირობების გაუმჯობესება",Program,"Penitentiary policy development, management, and improving life conditions for accused and condemned"
32 05 02,საგანმანათლებლო დაწესებულებათა ინფრასტრუქტურის რეაბილიტაცია,Program,Rehabilitation Of Infrastructure At Educational Institutions
58 10 04,"ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (III ფაზა) (EU, KfW)",Program,"Rehabilitation of Communal Infrastructure Institutions  in Batumi (III Phase) (EU, KfW)"
24 01 05,საქართველოში ინოვაციებისა და ტექნოლოგიების განვითარება,Program,Georgia's Innovation and Technology Development
12 00,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ლანჩხუთის ოზურგეთისა და ჩოხატაურის მუნიციპალიტეტებში,SpendingAgency,"Administration of the State Representative – Governor in LANCHKHUTI, OZURGETI and CHOKHATAURI Municipalities"
48 00,სსიპ - საქართველოს დაზღვევის სახელმწიფო ზედამხედველობის სამსახური,SpendingAgency,NNLP – Central Referral Laboratory of Public Health Care
32 03 01,პროფესიული განათლების ხელმისაწვდომობის და ხარისხის გაუმჯობესება,Program,Improved Quality And Affordability Of Vocational Education
38 00,საქართველოს გარემოს დაცვის სამინისტრო,SpendingAgency,Ministry Of Environment
